ligand_id,name,chembl_id,max_phase,p_active_nlrp3,nlrp3_percentile,qed,mw,canonical_smiles,n_seed_pass,pains_any,brenk,soft_excluded,tier,beta_lactam_flag,is_structural_control_not_candidate,w2_ifp_seed42,w2_ifp_seed43,w2_ifp_seed44,w2_ifp_n_seeds,w2_ifp_ge_2of3,acid_arg477_min_A_seed42,ifp_jaccard_seed42,n_key_contacts_seed42,excluded_reason,reportable
REP_00940,LANIFIBRANOR,CHEMBL4091374,3.0,0.9166666,85.41892054333454,0.4805168891217947,434.93,O=C(O)CCCc1cc2cc(Cl)ccc2n1S(=O)(=O)c1ccc2ncsc2c1,3,False,False,False,tier1,False,False,True,True,True,3,True,2.913446412755867,0.8148148148148148,11,,True
REP_00950,TONAPOFYLLINE,CHEMBL414157,3.0,0.9166667,90.38946988820771,0.686771841763158,416.52,CCCn1c(=O)c2[nH]c(C34CCC(CCC(=O)O)(CC3)CC4)nc2n(CCC)c1=O,2,False,False,False,tier1,False,False,True,False,False,1,False,4.402491226567064,0.7777777777777778,10,,True
REP_00992,CAFICRESTAT,CHEMBL4297455,3.0,0.57095164,81.5482630123813,0.5389356451894136,421.36,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,3,False,False,False,tier1,False,False,True,True,True,3,True,3.0243510047611752,0.5384615384615384,6,,True
REP_01147,ADMILPARANT,CHEMBL5087506,3.0,0.9166667,90.38946988820771,0.6578011549645414,445.52,CCCN(C)C(=O)OCc1c(-c2ccc(O[C@H]3CCC[C@H](C(=O)O)C3)c(C)n2)nnn1C,2,False,False,False,tier1,False,False,True,False,True,2,True,3.0838887787986105,0.92,10,,True
REP_05141,LINTITRIPT,CHEMBL249973,2.0,0.9166666,85.41892054333454,0.4957458681975341,411.87,O=C(O)Cn1c(C(=O)Nc2nc(-c3ccccc3Cl)cs2)cc2ccccc21,3,False,False,False,tier1,False,False,False,False,False,0,False,7.675933102887225,0.4230769230769231,5,,True
REP_05302,SPIROGLUMIDE,CHEMBL283820,2.0,0.78337806,83.31530231999038,0.6949672331835018,441.36,O=C(O)CC[C@@H](NC(=O)c1cc(Cl)cc(Cl)c1)C(=O)N1CCC2(CCCC2)CC1,3,False,False,False,tier1,False,False,True,False,False,1,False,6.267380712865613,0.6923076923076923,8,,True
REP_06119,CAVOSONSTAT,CHEMBL3989910,2.0,1.0,98.35917778579156,0.7511717125374576,299.71,O=C(O)c1ccc(-c2ccc3cc(O)ccc3n2)c(Cl)c1,3,False,False,False,tier1,False,False,True,False,False,1,False,2.9966464589604134,0.7142857142857143,9,,True
REP_06643,RUNCACIGUAT,CHEMBL4650322,2.0,0.9166667,90.38946988820771,0.4257605562503772,488.33,C[C@H]([C@H](C(=O)Nc1cc([C@@H](CC(=O)O)C2CC2)ccc1Cl)c1ccc(Cl)cc1)C(F)(F)F,3,False,False,False,tier1,False,False,True,True,False,2,True,3.0861022342106565,0.6923076923076923,8,,True
REP_06875,FULIMETIBANT,CHEMBL5095100,2.0,1.0,98.35917778579156,0.4305861616256543,487.45,O=C(O)c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,3,False,False,False,tier1,False,False,True,True,True,3,True,6.878127942979834,0.7083333333333334,7,,True
REP_07580,PF-03882845,CHEMBL1215331,1.0,1.0,98.35917778579156,0.7360321551748457,419.91,N#Cc1ccc(N2N=C3c4ccc(C(=O)O)cc4CC[C@@H]3[C@@H]2C2CCCC2)cc1Cl,3,False,False,False,tier1,False,False,True,True,True,3,True,3.2377540054797214,0.7857142857142857,10,,True
REP_07704,PSI-697,CHEMBL219046,1.0,0.9166667,90.38946988820771,0.6996452812674512,367.83,O=C(O)c1c(O)c(Cc2ccc(Cl)cc2)nc2c3c(ccc12)CCCC3,3,False,False,False,tier1,False,False,True,True,True,3,True,3.4848779031696333,0.5384615384615384,6,,True
REP_08210,CR-3465 FREE ACID,CHEMBL5316169,1.0,0.9166667,90.38946988820771,0.3167076267747203,495.51,O=C(N[C@@H](Cc1ccc(OCc2ccc3ccc(F)cc3n2)cc1)C(=O)O)c1ccc2ccccc2n1,3,False,False,False,tier1,False,False,True,True,True,3,True,3.1765190067115903,0.6923076923076923,8,,True
