ligand,gnina_cnn_4L23,gnina_aff_4L23,gnina_cnn_4JT6,gnina_aff_4JT6
PM48_01,0.9775785208,7.5648856163,0.9895522594,7.825925827
PM48_02,0.7216556072,7.8208642006,0.8171606064,8.3263120651
PM48_03,0.2204590887,6.77435112,0.0709042102,4.5848021507
PM48_04,0.6167758703,7.8202576637,0.8518939614,8.8622379303
PM48_05,0.8926404119,7.9518127441,0.9014986157,8.2781476974
PM48_06,0.9496158361,8.1812973022,0.9887710214,8.7344961166
PM48_07,0.8508214355,8.0332841873,0.8799865842,8.2489213943
PM48_08,0.9547696114,7.8546237946,0.9567308426,8.0727472305
PM48_09,0.9790191054,7.6694831848,0.9921991229,8.0340776443
PM48_10,0.2280624211,7.440267086,0.3043084741,8.2294054031
PM48_11,0.9827796221,7.3988966942,0.9514837861,7.41472435
PM48_12,0.9883172512,7.8721966743,0.9866927266,7.7858338356
PM48_13,0.091012232,5.1681804657,0.4981158078,7.2376122475
PM48_14,0.9685269594,7.4935231209,0.9970422983,8.1075429916
PM48_15,0.9825943708,7.6773262024,0.9923573732,8.122759819
PM48_16,0.9920781255,7.3439517021,0.94898808,7.1303305626
PM48_17,0.9124653339,8.0969266891,0.604614079,7.2030043602
PM48_18,0.9756109118,7.5820508003,0.9598079324,7.5654015541
PM48_19,0.31369102,7.0295958519,0.2413648665,6.0225338936
PM48_20,0.9380827546,8.2833909988,0.9152047038,8.1063585281
PM48_21,0.9910200834,7.8793921471,0.9960688353,8.2590150833
PM48_22,0.210174039,6.2420716286,0.2431642562,6.1117801666
PM48_23,0.9836115241,7.7803034782,0.9809367061,7.8994460106
PM48_24,0.9787858129,8.0174512863,0.8934267163,7.643676281
PM48_25,0.1056556553,4.4081821442,0.1744297743,5.1834845543
PM48_26,0.9816000462,8.623249054,0.9597636461,8.5279855728
PM48_27,0.446585834,6.9806571007,0.4534995854,7.0524277687
PM48_28,0.9682101011,8.3234682083,0.976390779,8.5501861572
PM48_29,0.9885821939,8.221660614,0.8038420677,7.1101632118
PM48_30,0.683470428,6.9592375755,0.7436326146,6.9294471741
PM48_31,0.410110265,7.2857689857,0.6256671548,8.1596984863
PM48_32,0.4062016606,6.4497413635,0.5368577838,7.171151638
PM48_33,0.712882638,7.451818943,0.9566705823,8.2662200928
PM48_34,0.8435883522,8.1891679764,0.64134866,7.6624646187
PM48_35,0.799452126,7.5549283028,0.9110450745,7.7485585213
PM48_36,0.7852814198,7.6843857765,0.679153204,7.7931113243
PM48_37,0.5876685381,8.1273756027,0.4771305621,8.1434440613
PM48_38,0.914253056,7.9524617195,0.9514246583,8.2744932175
PM48_39,0.8026743531,7.3882694244,0.9838197827,8.105055809
PM48_40,0.9622204304,7.9814372063,0.8442069292,7.1918849945
PM48_41,0.6429110765,7.4356808662,0.2952688634,7.0135827065
PM48_42,0.8796798587,7.9591164589,0.5089027286,7.1412963867
PM48_43,0.8941611052,7.793012619,0.9517967105,8.3572912216
PM48_44,0.8615844846,7.5171966553,0.735376358,7.4053421021
PM48_45,0.9547918439,7.0328230858,0.938960433,7.0513148308
PM48_46,0.9219772816,7.9868049622,0.6220180988,7.4256644249
PM48_47,0.9584169984,7.3894896507,0.9365316033,7.2528548241
PM48_48,0.9144920707,7.5270085335,0.9303123951,7.4921607971
