name,chembl_id,max_phase,canonical_smiles,scaffold,mw,s_u_percentile,s_n_percentile,s_n_ml_percentile,s_n_dock_percentile,p_active_nlrp3,pains_any,brenk,qed,lipinski_pass,veber_pass,ghose_pass,oral_absorption_ok,mw_oral_ok,structurally_clean,druglike,clean_candidate,preferred_candidate,has_carboxylic_acid,nlrp3_structure_supported,nlrp3_ml_only_risk,is_known_reference,dual_structure_balance,chemistry_rank_score
CANAGLIFLOZIN,CHEMBL4594217,4.0,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,c1ccc(-c2ccc(Cc3cccc(C4CCCCO4)c3)s2)cc1,444.52,98.07029634734666,94.00413507925568,75.63749138525155,94.00413507925568,0.91666675,False,False,0.486,True,True,True,True,True,True,True,True,True,False,True,False,False,94.00413507925568,0.5262500000000001
CAFICRESTAT,CHEMBL4297455,3.0,O=C(O)Cc1nn(Cc2nc3cc(C(F)(F)F)ccc3s2)c(=O)c2nccnc12,O=c1c2nccnc2cnn1Cc1nc2ccccc2s1,421.36,91.45416953824947,94.96898690558236,3.308063404548587,94.96898690558236,0.57095164,False,False,0.539,True,True,True,True,True,True,True,True,True,False,True,False,False,91.45416953824947,0.5764
NELUTROCTIV,CHEMBL5314433,2.0,CS(=O)(=O)c1cncc(C(=O)N2[C@@H](C(=O)N[C@@H](c3cc(F)c(C(F)(F)F)cc3F)C3CC3)C[C@H]3C[C@H]32)c1,O=C(NC(c1ccccc1)C1CC1)C1CC2CC2N1C(=O)c1cccnc1,543.51,92.3501033769814,94.41764300482426,24.01791867677464,94.41764300482426,0.9166666,False,False,0.562,True,True,False,True,True,True,True,True,True,False,True,False,False,92.3501033769814,0.23291250000000005
FULIMETIBANT,CHEMBL5095100,2.0,O=C(O)c1cc(NC(=O)C2(c3ccc(C(F)(F)F)cc3F)CC2)ccc1-c1cnn(C2CCC2)c1,O=C(Nc1ccc(-c2cnn(C3CCC3)c2)cc1)C1(c2ccccc2)CC1,487.45,90.28256374913852,91.38525155065471,91.38525155065471,90.07580978635424,1.0,False,False,0.431,True,True,False,True,True,True,True,True,True,False,True,False,False,90.07580978635424,0.2505875
PF-06952229,CHEMBL5095192,1.0,CC(C)c1cnc(-c2cc(Cl)ccc2F)cc1Nc1ccncc1C(=O)NC(CO)CO,c1ccc(-c2cc(Nc3ccncc3)ccn2)cc1,458.92,97.10544452102,94.5554789800138,50.137835975189525,94.5554789800138,0.9166667,False,False,0.408,True,True,True,True,True,True,True,True,True,False,True,False,False,94.5554789800138,0.47705000000000003
DORZAGLIATIN,CHEMBL4297508,3.0,CC(C)C[C@@H](C(=O)Nc1ccn(C[C@@H](O)CO)n1)N1CC(Oc2ccccc2Cl)=CC1=O,O=C(CN1CC(Oc2ccccc2)=CC1=O)Nc1cc[nH]n1,462.93,95.93383873190902,91.38525155065471,91.38525155065471,87.5947622329428,1.0,False,False,0.497,True,True,True,True,True,True,True,True,True,False,False,True,False,87.5947622329428,0.5076375
SERALUTINIB,CHEMBL4650333,3.0,COc1ccc(-c2cncc(N[C@@H](C)c3cccc(NC(=O)c4cncc(C)c4)c3)n2)cc1OC,O=C(Nc1cccc(CNc2cncc(-c3ccccc3)n2)c1)c1cccnc1,469.55,91.10957960027568,91.38525155065471,91.38525155065471,66.50585802894555,1.0,False,False,0.362,True,True,False,True,True,True,True,True,True,False,False,True,False,66.50585802894555,0.2453625
BERVASTATIN,CHEMBL2218915,2.0,CCOC(=O)CC(O)CC(O)/C=C/C1=C(c2ccc(F)cc2)c2ccccc2OC12CCCC2,C1=C(c2ccccc2)c2ccccc2OC12CCCC2,466.55,97.58787043418332,91.38525155065471,91.38525155065471,71.60578911095796,1.0,False,False,0.538,True,True,True,True,True,True,True,True,True,False,False,True,False,71.60578911095796,0.5195125
ONRADIVIR,CHEMBL5095075,2.0,O=C(O)[C@H]1C2CCC(CC2)[C@@H]1Nc1nc(-c2n[nH]c3ncc(F)cc23)nc(C2CC2)c1F,c1cnc2[nH]nc(-c3nc(NC4CC5CCC4CC5)cc(C4CC4)n3)c2c1,440.45,90.9028256374914,91.38525155065471,91.38525155065471,47.96691936595452,1.0,False,False,0.551,True,True,True,True,True,True,True,True,True,False,False,True,False,47.96691936595452,0.5573375
STX-478,CHEMBL5421037,1.0,Cc1c([C@@H](NC(=O)Nc2cnc(N)nc2)C(F)(F)F)oc2c(F)cc(F)cc12,O=C(NCc1cc2ccccc2o1)Nc1cncnc1,401.3,94.41764300482426,91.38525155065471,91.38525155065471,65.74776016540316,1.0,False,False,0.579,True,True,True,True,True,True,True,True,True,False,False,True,False,65.74776016540316,0.617475
M4344,CHEMBL4650286,1.0,Nc1nn2cc(F)cnc2c1C(=O)Nc1cncc(F)c1N1CCC(C(=O)N2CCN(C3COC3)CC2)CC1,O=C(Nc1cnccc1N1CCC(C(=O)N2CCN(C3COC3)CC2)CC1)c1cnn2cccnc12,541.56,96.96760854583046,91.38525155065471,91.38525155065471,20.74431426602344,1.0,False,False,0.485,True,True,False,True,True,True,True,True,True,False,False,True,False,20.74431426602344,0.20455000000000007
MK-6592,CHEMBL3545378,1.0,Cc1cc(Nc2cc(N3CC(F)(C4CC4)C3)nc(O[C@H]3CCN(C(=O)c4cc(Cl)ccc4F)C3)n2)n[nH]1,O=C(c1ccccc1)N1CCC(Oc2nc(Nc3cc[nH]n3)cc(N3CC(C4CC4)C3)n2)C1,529.98,98.96623018607856,91.38525155065471,91.38525155065471,19.021364576154376,1.0,False,False,0.471,True,True,False,True,True,True,True,True,True,False,False,True,False,19.021364576154376,0.21342499999999998
