pair,analysis_set,estimand,score_definition,comparison,n_pos,n_neg,n_neither,independent,reported,ci_lo,ci_hi,n_boot_total,n_boot_valid,ligand_ids_pos,source_result_file,source,n_complete,interpretation
JAK1/JAK2,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,32,32,,0.58837890625,0.58837890625,0.4444173177083333,0.7292067307692305,2000,2000,J1J2_065;J1J2_066;J1J2_067;J1J2_068;J1J2_069;J1J2_070;J1J2_071;J1J2_072;J1J2_073;J1J2_074;J1J2_075;J1J2_076;J1J2_077;J1J2_078;J1J2_079;J1J2_080;J1J2_081;J1J2_082;J1J2_083;J1J2_084;J1J2_085;J1J2_086;J1J2_087;J1J2_088;J1J2_089;J1J2_090;J1J2_091;J1J2_092;J1J2_093;J1J2_094;J1J2_095;J1J2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,32,32,,0.7275390625,0.7275390625,0.5947525582813771,0.8482786429365963,2000,2000,J1J2_065;J1J2_066;J1J2_067;J1J2_068;J1J2_069;J1J2_070;J1J2_071;J1J2_072;J1J2_073;J1J2_074;J1J2_075;J1J2_076;J1J2_077;J1J2_078;J1J2_079;J1J2_080;J1J2_081;J1J2_082;J1J2_083;J1J2_084;J1J2_085;J1J2_086;J1J2_087;J1J2_088;J1J2_089;J1J2_090;J1J2_091;J1J2_092;J1J2_093;J1J2_094;J1J2_095;J1J2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,summary_min,"min(D/A,D/B)",weaker directional arm,32,32,,0.58837890625,0.58837890625,0.4444173177083333,0.7245793185309313,2000,2000,J1J2_065;J1J2_066;J1J2_067;J1J2_068;J1J2_069;J1J2_070;J1J2_071;J1J2_072;J1J2_073;J1J2_074;J1J2_075;J1J2_076;J1J2_077;J1J2_078;J1J2_079;J1J2_080;J1J2_081;J1J2_082;J1J2_083;J1J2_084;J1J2_085;J1J2_086;J1J2_087;J1J2_088;J1J2_089;J1J2_090;J1J2_091;J1J2_092;J1J2_093;J1J2_094;J1J2_095;J1J2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,fixed_score_delta_pocketA,S_A only,D-vs-neither minus D-vs-B-only,32,32,14,-0.004324776785714302,,-0.18223353794642855,0.15905412946428568,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,fixed_score_delta_pocketB,S_B only,D-vs-neither minus D-vs-A-only,32,32,14,0.1415318080357143,,,,,,,independent boot_delta shared dual draw,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_mean_D_vs_neither,S_mean=(S_A+S_B)/2,dual vs neither,32,14,,0.7299107142857143,0.73,,,,,,independent complete-case vina_mean,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,AUROC_mean_D_vs_AplusB,S_mean=(S_A+S_B)/2,dual vs pooled A-only+B-only,32,64,,0.65478515625,,,,,,,secondary candidate-ranking diagnostic; not a primary directional endpoint,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,delta_AUROC_mean_neither_minus_AplusB,same S_mean,D-vs-neither minus D-vs-A+B,32,64,,0.0751255580357143,,,,,,,secondary diagnostic,pre_fix unchanged pair; copied from independent audit,,
JAK1/JAK2,main,delta_summary_min_matched_minus_mismatched,swap existing S_A/S_B assignment; no redocking,matched vs mismatched summary_min,32,64,,-0.01904296875,,-0.08812890625000001,0.05403402093596046,,,,independent paired ligand resample,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_D_vs_A_pocketB,S_B=-E_B mode1,dual vs A-only,31,32,,0.5751008064516129,0.5751008064516129,0.43421171171171175,0.7251602564102563,2000,2000,J1TYK2_065;J1TYK2_066;J1TYK2_067;J1TYK2_068;J1TYK2_069;J1TYK2_070;J1TYK2_071;J1TYK2_072;J1TYK2_073;J1TYK2_074;J1TYK2_075;J1TYK2_076;J1TYK2_077;J1TYK2_078;J1TYK2_079;J1TYK2_080;J1TYK2_081;J1TYK2_082;J1TYK2_083;J1TYK2_084;J1TYK2_085;J1TYK2_086;J1TYK2_087;J1TYK2_088;J1TYK2_089;J1TYK2_090;J1TYK2_091;J1TYK2_093;J1TYK2_094;J1TYK2_095;J1TYK2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
JAK1/TYK2,main,AUROC_D_vs_B_pocketA,S_A=-E_A mode1,dual vs B-only,31,32,,0.3649193548387097,0.3649193548387097,0.230550455346651,0.5050586510263929,2000,2000,J1TYK2_065;J1TYK2_066;J1TYK2_067;J1TYK2_068;J1TYK2_069;J1TYK2_070;J1TYK2_071;J1TYK2_072;J1TYK2_073;J1TYK2_074;J1TYK2_075;J1TYK2_076;J1TYK2_077;J1TYK2_078;J1TYK2_079;J1TYK2_080;J1TYK2_081;J1TYK2_082;J1TYK2_083;J1TYK2_084;J1TYK2_085;J1TYK2_086;J1TYK2_087;J1TYK2_088;J1TYK2_089;J1TYK2_090;J1TYK2_091;J1TYK2_093;J1TYK2_094;J1TYK2_095;J1TYK2_096,independent recompute; cross-check primary_directional_intervals_review_v1.csv,pre_fix unchanged pair; copied from independent audit,,
