ligand_id,name,chembl_id,max_phase,p_active_nlrp3,qed,mw,canonical_smiles,n_seed_pass,pains_any,brenk,soft_excluded,tier,beta_lactam_flag,is_structural_control_not_candidate,w2_ifp_seed42,w2_ifp_seed43,w2_ifp_seed44,w2_ifp_n_seeds,w2_ifp_ge_2of3,acid_arg477_min_A_seed42,ifp_jaccard_seed42,n_key_contacts_seed42,excluded_reason,reportable,inchi_key_recomputed,murcko_scaffold,mw_recomputed,clogp,tpsa,hbd,hba,rotatable_bonds,qed_recomputed,acid_types,chemistry_soft_pass,rdkit_version,inchi_key_source,nomination_status,structural_seed_passes,historical_n_seed_pass_meaning,nlrp3_keep_nlrp3_structural_seed42,nlrp3_selected_mode_seed42,nlrp3_pocket_overlap_frac_seed42,nlrp3_n_key_contacts_seed42,nlrp3_ifp_jaccard_vs_np3146_seed42,nlrp3_keep_nlrp3_structural_seed43,nlrp3_selected_mode_seed43,nlrp3_pocket_overlap_frac_seed43,nlrp3_n_key_contacts_seed43,nlrp3_ifp_jaccard_vs_np3146_seed43,nlrp3_keep_nlrp3_structural_seed44,nlrp3_selected_mode_seed44,nlrp3_pocket_overlap_frac_seed44,nlrp3_n_key_contacts_seed44,nlrp3_ifp_jaccard_vs_np3146_seed44
REP_00207,LESINURAD,CHEMBL2105720,4.0,0.59704274,0.6447720583090041,404.29,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,3,False,False,False,tier2,False,False,False,False,False,0,False,14.107409436179273,0.8076923076923077,9,,True,FGQFOYHRJSUHMR-UHFFFAOYSA-N,c1ccc2c(-n3cnnc3)ccc(C3CC3)c2c1,404.28900000000016,4.2371000000000025,68.00999999999999,1,4,5,0.6447720583090042,carboxylate,True,2026.03.6,FGQFOYHRJSUHMR-UHFFFAOYSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,1.0,7,0.9473684210526316,True,1.0,1.0,7.0,0.8947368421052632,True,1.0,1.0,7.0,0.9473684210526316
REP_00697,TERUTROBAN,CHEMBL2107786,3.0,0.91666675,0.7671257368531635,407.92,Cc1ccc2c(c1CCC(=O)O)CC[C@@H](NS(=O)(=O)c1ccc(Cl)cc1)C2,3,False,False,False,tier2,False,False,False,False,False,0,False,13.022234255303497,0.8461538461538461,9,,True,HWEOXFSBSQIWSY-MRXNPFEDSA-N,O=S(=O)(NC1CCc2ccccc2C1)c1ccccc1,407.9190000000002,3.501420000000002,83.47,2,3,6,0.7671257368531635,carboxylate,True,2026.03.6,HWEOXFSBSQIWSY-MRXNPFEDSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.5555555555555556,5,0.6842105263157895,True,1.0,1.0,6.0,0.8947368421052632,True,1.0,0.7037037037037037,5.0,0.631578947368421
REP_00944,GLYCOCHOLIC ACID,CHEMBL411070,3.0,0.9166666,0.4102900871309047,465.63,C[C@H](CCC(=O)NCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3C[C@H](O)[C@]12C,3,False,False,False,tier2,False,False,False,False,False,0,False,14.33713297699369,0.6785714285714286,9,,True,RFDAIACWWDREDC-FRVQLJSFSA-N,C1CCC2C(C1)CCC1C3CCCC3CCC21,465.6310000000003,2.564899999999999,127.09000000000002,5,5,6,0.4102900871309047,carboxylate,True,2026.03.6,RFDAIACWWDREDC-FRVQLJSFSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.8181818181818182,5,0.7,True,1.0,0.8181818181818182,5.0,0.7,True,1.0,0.8181818181818182,5.0,0.7
REP_01178,ALEGLITAZAR,CHEMBL519504,3.0,0.9166667,0.3909853027431884,437.52,CO[C@@H](Cc1ccc(OCCc2nc(-c3ccccc3)oc2C)c2ccsc12)C(=O)O,3,False,False,False,tier2,False,False,False,False,False,0,False,14.17126483416353,0.8461538461538461,10,,True,DAYKLWSKQJBGCS-NRFANRHFSA-N,c1ccc(-c2nc(CCOc3cccc4sccc34)co2)cc1,437.51700000000017,5.128320000000005,81.79,1,6,9,0.3909853027431884,carboxylate,True,2026.03.6,DAYKLWSKQJBGCS-NRFANRHFSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.7096774193548387,6,0.75,True,1.0,0.7096774193548387,6.0,0.75,True,1.0,0.7096774193548387,6.0,0.75
REP_01474,TENIVASTATIN,CHEMBL1201391,2.0,0.9166667,0.4454130269211328,436.59,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,2,False,False,False,tier2,False,False,False,False,False,0,False,14.601634703005,0.8148148148148148,10,,True,XWLXKKNPFMNSFA-HGQWONQESA-N,C1=CC2=CCCCC2CC1,436.5890000000002,4.105700000000003,104.06000000000002,3,5,10,0.44541302692113277,carboxylate,True,2026.03.6,XWLXKKNPFMNSFA-HGQWONQESA-N,reserve_admissible,2,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.967741935483871,6,0.7894736842105263,True,1.0,0.7096774193548387,5.0,0.7368421052631579,True,1.0,0.7741935483870968,5.0,0.7368421052631579
REP_02143,ABITESARTAN,CHEMBL1742401,2.0,0.9166667,0.4526520972220416,461.57,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)CC1(C(=O)O)CCCC1,3,False,False,False,tier2,False,False,False,True,False,1,False,11.555160102741974,0.8076923076923077,9,,True,ZUMPSVPHCDJCMD-UHFFFAOYSA-N,c1ccc(-c2nnn[nH]2)c(-c2ccc(CNCC3CCCC3)cc2)c1,461.5660000000003,4.697500000000003,112.07000000000001,2,5,10,0.45265209722204164,carboxylate;tetrazole,True,2026.03.6,ZUMPSVPHCDJCMD-UHFFFAOYSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.7352941176470589,6,0.7894736842105263,True,1.0,0.7941176470588235,5.0,0.6842105263157895,True,1.0,0.6470588235294118,6.0,0.75
REP_02650,ASERIPIDE,CHEMBL2104072,2.0,0.9166667,0.4591676398587541,531.61,C[C@H](C(=O)O)c1cccc(NC(=O)NCC(=O)N2[C@@H](c3ccccc3F)SC[C@H]2C(=O)OC(C)(C)C)c1,3,False,False,False,tier2,False,False,False,False,False,0,False,14.928512250053585,0.8148148148148148,10,,True,IPIGNHDAVWQEDN-GJULWVSJSA-N,O=C(NCC(=O)N1CCSC1c1ccccc1)Nc1ccccc1,531.6060000000002,4.119800000000004,125.04,3,6,7,0.45916763985875414,carboxylate,True,2026.03.6,IPIGNHDAVWQEDN-GJULWVSJSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.6756756756756757,6,0.75,True,1.0,0.7027027027027027,5.0,0.7368421052631579,True,1.0,0.6756756756756757,6.0,0.75
REP_03974,FLORANTYRONE,CHEMBL2106357,2.0,0.9166666,0.563229709231592,302.33,O=C(O)CCC(=O)c1ccc2c(c1)-c1cccc3cccc-2c13,3,False,False,False,tier2,False,False,False,False,False,0,False,14.28520146865279,0.8076923076923077,9,,True,QOBAOSCOLAGPKI-UHFFFAOYSA-N,c1ccc2c(c1)-c1cccc3cccc-2c13,302.32900000000006,4.534700000000003,54.37,1,2,4,0.563229709231592,carboxylate,True,2026.03.6,QOBAOSCOLAGPKI-UHFFFAOYSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,1.0,7,0.9473684210526316,True,1.0,1.0,7.0,0.9473684210526316,True,1.0,1.0,7.0,0.9473684210526316
REP_04990,GW590735,CHEMBL219586,2.0,0.61791027,0.4805976151805703,478.49,Cc1nc(-c2ccc(C(F)(F)F)cc2)sc1C(=O)NCc1ccc(OC(C)(C)C(=O)O)cc1,2,False,False,False,tier2,False,False,False,False,False,0,False,14.708247380296529,0.7692307692307693,9,,True,ILUPZUOBHCUBKB-UHFFFAOYSA-N,O=C(NCc1ccccc1)c1cnc(-c2ccccc2)s1,478.4920000000002,5.309320000000004,88.52,2,5,7,0.4805976151805703,carboxylate,True,2026.03.6,ILUPZUOBHCUBKB-UHFFFAOYSA-N,reserve_admissible,2,"A2 dual loose geometry, not A1 or W2 consistency",True,1,0.5454545454545454,5,0.6842105263157895,False,1.0,0.5757575757575758,4.0,0.5263157894736842,True,1.0,0.6060606060606061,5.0,0.6842105263157895
REP_05846,VERINURAD,CHEMBL3707347,2.0,0.9166667,0.690067484555994,348.43,CC(C)(Sc1ccncc1-c1ccc(C#N)c2ccccc12)C(=O)O,3,False,False,False,tier2,False,False,False,False,False,0,False,12.298366273615365,0.88,9,,True,YYBOLPLTQDKXPM-UHFFFAOYSA-N,c1cncc(-c2cccc3ccccc23)c1,348.4270000000001,4.728780000000004,73.98,1,4,4,0.690067484555994,carboxylate,True,2026.03.6,YYBOLPLTQDKXPM-UHFFFAOYSA-N,reserve_admissible,3,"A2 dual loose geometry, not A1 or W2 consistency",True,1,1.0,7,0.9,True,1.0,1.0,7.0,0.9,True,1.0,1.0,7.0,0.9
