"Molecule ChEMBL ID","Molecule Name","Molecule Max Phase","Molecular Weight","#RO5 Violations","AlogP","Compound Key","Smiles","Standard Type","Standard Relation","Standard Value","Standard Units","pChEMBL Value","Data Validity Comment","Comment","Uo Units","Ligand Efficiency BEI","Ligand Efficiency LE","Ligand Efficiency LLE","Ligand Efficiency SEI","Potential Duplicate","Assay ChEMBL ID","Assay Description","Assay Type","BAO Format ID","BAO Label","Assay Organism","Assay Tissue ChEMBL ID","Assay Tissue Name","Assay Cell Type","Assay Subcellular Fraction","Assay Parameters","Assay Variant Accession","Assay Variant Mutation","Target ChEMBL ID","Target Name","Target Organism","Target Type","Document ChEMBL ID","Source ID","Source Description","Document Journal","Document Year","Cell ChEMBL ID","Properties","Action Type","Standard Text Value","Value"
"CHEMBL3683291","","None","417.85","0","4.65","BDBM165671","Cc1cc(Cl)ccc1Oc1ccc(S(=O)(=O)Nc2ccc(F)cn2)cc1C#N","IC50","'='","148.0","nM","6.83","","309231","UO_0000065","16.34","0.33","2.18","7.42","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","148.0"
"CHEMBL3683294","","None","417.39","0","3.83","BDBM165674","COc1cc(F)cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1","IC50","'='","119.0","nM","6.92","","309234","UO_0000065","16.59","0.33","3.09","6.83","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","119.0"
"CHEMBL3683307","","None","401.39","0","4.13","BDBM165687","Cc1ccc(F)cc1Oc1ccc(S(=O)(=O)Nc2ccc(F)cn2)cc1C#N","IC50","'='","84.0","nM","7.08","","309247","UO_0000065","17.63","0.35","2.95","7.68","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","84.0"
"CHEMBL3683308","","None","417.85","0","4.65","BDBM165688","Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc1Cl","IC50","'='","209.0","nM","6.68","","309248","UO_0000065","15.99","0.33","2.03","7.25","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","209.0"
"CHEMBL3683318","","None","439.80","0","4.62","BDBM165698","N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cc(F)cc(F)c1Cl","IC50","'='","212.0","nM","6.67","","309258","UO_0000065","15.17","0.31","2.05","7.25","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","212.0"
"CHEMBL3683320","","None","417.85","0","4.65","BDBM165700","Cc1cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)ccc1Cl","IC50","'='","80.0","nM","7.10","","309260","UO_0000065","16.98","0.35","2.45","7.71","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","80.0"
"CHEMBL3683333","","None","421.81","0","4.48","BDBM165713","N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1ccc(Cl)cc1F","IC50","'='","50.0","nM","7.30","","309273","UO_0000065","17.31","0.36","2.82","7.93","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","50.0"
"CHEMBL3683353","","None","460.39","0","4.16","BDBM165733","N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c(OC(F)F)c1","IC50","'='","3517.0","nM","5.45","","309293","UO_0000065","11.85","0.23","1.29","4.36","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","3517.0"
"CHEMBL3683354","","None","429.82","0","3.61","BDBM165734","N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1cnc(C#N)c(Cl)c1","IC50","'='","155.0","nM","6.81","","309294","UO_0000065","15.84","0.32","3.20","5.29","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","155.0"
"CHEMBL3683365","","None","422.44","0","4.17","BDBM165745","Cc1cc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)cc(C)c1C#N","IC50","'='","7.0","nM","8.15","","309305","UO_0000065","19.30","0.37","3.98","7.04","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","7.0"
"CHEMBL3683366","","None","511.73","1","4.80","BDBM165746","N#Cc1cc(S(=O)(=O)Nc2ccccn2)ccc1Oc1ccc(Cl)cc1I","IC50","'='","728.0","nM","6.14","","309306","UO_0000065","11.99","0.31","1.34","6.67","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","728.0"
"CHEMBL3639822","","None","462.26","0","4.98","BDBM165749","O=S(=O)(Nc1cccnn1)c1ccc(Oc2ccc(Cl)cc2OC(F)F)c(Cl)c1","IC50","'>'","8866.0","nM","","","309309","UO_0000065","","","","","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","8866.0"
"CHEMBL3683372","","None","395.38","0","2.95","BDBM165753","N#Cc1ccc(Oc2ccc(S(=O)(=O)Nc3cccnn3)cc2C#N)cc1F","IC50","'='","429.0","nM","6.37","","309313","UO_0000065","16.10","0.31","3.42","4.95","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","429.0"
"CHEMBL3683390","","None","433.85","0","4.35","BDBM165771","COc1ccc(Cl)cc1Oc1ccc(S(=O)(=O)Nc2ccc(F)cn2)cc1C#N","IC50","'>'","10000.0","nM","","","309331","UO_0000065","","","","","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","10000.0"
"CHEMBL3683396","","None","451.84","0","4.49","BDBM165777","COc1c(F)ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1Cl","IC50","'='","177.0","nM","6.75","","309337","UO_0000065","14.94","0.31","2.26","6.66","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","177.0"
"CHEMBL3683403","","None","419.38","0","4.27","BDBM165784","Cc1ccc(F)c(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1F","IC50","'='","90.0","nM","7.05","","309344","UO_0000065","16.80","0.33","2.78","7.65","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","90.0"
"CHEMBL3683408","","None","405.36","0","3.96","BDBM165789","N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1c(F)cccc1F","IC50","'>'","10000.0","nM","","","309349","UO_0000065","","","","","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","10000.0"
"CHEMBL3683412","","None","419.38","0","4.27","BDBM165793","Cc1ccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c(F)c1F","IC50","'>'","10000.0","nM","","","309353","UO_0000065","","","","","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","10000.0"
"CHEMBL3683413","","None","425.49","0","4.98","BDBM165794","CC(C)(C)c1cccc(Oc2ccc(S(=O)(=O)Nc3ccc(F)cn3)cc2C#N)c1","IC50","'>'","10000.0","nM","","","309354","UO_0000065","","","","","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","10000.0"
"CHEMBL3683418","","None","423.35","0","4.10","BDBM165799","N#Cc1cc(S(=O)(=O)Nc2ccc(F)cn2)ccc1Oc1c(F)ccc(F)c1F","IC50","'>'","10000.0","nM","","","309359","UO_0000065","","","","","0","CHEMBL3706306","Inhibition Assay: Assay compound plates were prepared by diluting the compounds of formula (I) with chloride-free buffer (125 mM Na-gluconate, 4.8 mM K-gluconate, 1.3 mM Ca-gluconate, 1.2 mM KH2PO4, 1.2 mM MgSO4, 5.6 mM D-glucose, 25 mM HEPES, pH 7.4 with NaOH) in 100% DMSO to a final concentration of 1% DMSO. [14C]-Uric Uric acid working stock was made by addition of radiolabeled compound to a final concentration of 120 nM in chloride-free buffer. In all wells, the final assay concentration of solvent (DMSO) was 0.25%, the final assay concentration of [14C]-uric acid was 30 nM in chloride-free buffer and the final compound of formula (I) concentrations ranged from 0 to 10 uM. The vehicle comparator was DMSO (i.e. no inhibition of uric acid transport) and the pharmacological blockade (i.e. 100% inhibition of uric acid transport) was defined by benzbromarone at 10 uM final assay concentration.After pre-incubation, cells were washed with 50 uL of chloride-free buffer.","B","BAO_0000019","assay format","None","None","None","None","None","","","","CHEMBL6120","Solute carrier family 22 member 12","Homo sapiens","SINGLE PROTEIN","CHEMBL3638639","37","BindingDB Patent Bioactivity Data","","2015","None","","","","10000.0"
