experiment,target,ligand_id,exhaustiveness,seed,status,reason,log_path,pose_dir,all_pose_path,n_modes_written
A,3RCD,EH40_04,8,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E8_seed20260727/3RCD_EH40_04.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_04,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_04/all_modes.pdbqt,9
A,3RCD,EH40_05,8,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E8_seed20260727/3RCD_EH40_05.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_05/all_modes.pdbqt,9
A,3RCD,EH40_09,8,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E8_seed20260727/3RCD_EH40_09.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_09,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_09/all_modes.pdbqt,9
A,3RCD,EH40_18,8,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E8_seed20260727/3RCD_EH40_18.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_18/all_modes.pdbqt,9
A,3RCD,EH40_23,8,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E8_seed20260727/3RCD_EH40_23.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed20260727/3RCD/EH40_23/all_modes.pdbqt,9
A,3POZ,EH40_01,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_01.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_01,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_01/all_modes.pdbqt,9
A,3POZ,EH40_02,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_02.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_02,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_02/all_modes.pdbqt,9
A,3POZ,EH40_03,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_03.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_03,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_03/all_modes.pdbqt,9
A,3POZ,EH40_04,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_04.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_04,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_04/all_modes.pdbqt,9
A,3POZ,EH40_05,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_05.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_05,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_05/all_modes.pdbqt,9
A,3POZ,EH40_09,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_09.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_09,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_09/all_modes.pdbqt,9
A,3POZ,EH40_18,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_18.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_18,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_18/all_modes.pdbqt,9
A,3POZ,EH40_23,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3POZ_EH40_23.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_23,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3POZ/EH40_23/all_modes.pdbqt,9
A,3RCD,EH40_01,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_01.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_01,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_01/all_modes.pdbqt,9
A,3RCD,EH40_02,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_02.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_02,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_02/all_modes.pdbqt,9
A,3RCD,EH40_03,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_03.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_03,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_03/all_modes.pdbqt,9
A,3RCD,EH40_04,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_04.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_04,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_04/all_modes.pdbqt,9
A,3RCD,EH40_05,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_05.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_05,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_05/all_modes.pdbqt,9
A,3RCD,EH40_09,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_09.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_09,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_09/all_modes.pdbqt,9
A,3RCD,EH40_18,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_18.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_18,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_18/all_modes.pdbqt,9
A,3RCD,EH40_23,16,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E16_seed20260727/3RCD_EH40_23.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_23,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E16_seed20260727/3RCD/EH40_23/all_modes.pdbqt,9
A,3POZ,EH40_01,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_01.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_01,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_01/all_modes.pdbqt,9
A,3POZ,EH40_02,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_02.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_02,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_02/all_modes.pdbqt,9
A,3POZ,EH40_03,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_03.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_03,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_03/all_modes.pdbqt,9
A,3POZ,EH40_04,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_04.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_04,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_04/all_modes.pdbqt,9
A,3POZ,EH40_05,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_05.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_05,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_05/all_modes.pdbqt,9
A,3POZ,EH40_09,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_09.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_09,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_09/all_modes.pdbqt,9
A,3POZ,EH40_18,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_18.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_18,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_18/all_modes.pdbqt,9
A,3POZ,EH40_23,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3POZ_EH40_23.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_23,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3POZ/EH40_23/all_modes.pdbqt,9
A,3RCD,EH40_01,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_01.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_01,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_01/all_modes.pdbqt,9
A,3RCD,EH40_02,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_02.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_02,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_02/all_modes.pdbqt,8
A,3RCD,EH40_03,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_03.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_03,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_03/all_modes.pdbqt,9
A,3RCD,EH40_04,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_04.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_04,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_04/all_modes.pdbqt,9
A,3RCD,EH40_05,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_05.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_05,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_05/all_modes.pdbqt,8
A,3RCD,EH40_09,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_09.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_09,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_09/all_modes.pdbqt,9
A,3RCD,EH40_18,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_18.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_18,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_18/all_modes.pdbqt,9
A,3RCD,EH40_23,32,20260727,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E32_seed20260727/3RCD_EH40_23.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_23,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E32_seed20260727/3RCD/EH40_23/all_modes.pdbqt,9
B,3POZ,EH40_01,8,7,success,,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/logs/E8_seed7/3POZ_EH40_01.log,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed7/3POZ/EH40_01,/mnt/d/CADD paper exercise/dual target docking/results/egfr_her2_panel40_v0/analysis/exhaustiveness_sensitivity_v1/poses/E8_seed7/3POZ/EH40_01/all_modes.pdbqt,9
