ligand,target,vina_mode,vina_score
PM48_01,4L23,1,-9.241
PM48_01,4L23,2,-9.23
PM48_01,4L23,3,-8.845
PM48_01,4L23,4,-8.64
PM48_01,4L23,5,-8.554
PM48_01,4L23,6,-8.494
PM48_01,4L23,7,-8.325
PM48_01,4L23,8,-8.091
PM48_01,4L23,9,-8.065
PM48_01,4JT6,1,-9.512
PM48_01,4JT6,2,-9.414
PM48_01,4JT6,3,-8.67
PM48_01,4JT6,4,-8.665
PM48_01,4JT6,5,-8.661
PM48_01,4JT6,6,-8.427
PM48_01,4JT6,7,-8.416
PM48_01,4JT6,8,-8.385
PM48_01,4JT6,9,-8.317
PM48_02,4L23,1,-9.282
PM48_02,4L23,2,-9.098
PM48_02,4L23,3,-9.045
PM48_02,4L23,4,-8.868
PM48_02,4L23,5,-8.611
PM48_02,4L23,6,-8.602
PM48_02,4L23,7,-8.512
PM48_02,4L23,8,-8.481
PM48_02,4L23,9,-8.452
PM48_02,4JT6,1,-10.949
PM48_02,4JT6,2,-9.826
PM48_02,4JT6,3,-9.118
PM48_02,4JT6,4,-9.078
PM48_02,4JT6,5,-9.061
PM48_02,4JT6,6,-8.686
PM48_02,4JT6,7,-8.684
PM48_02,4JT6,8,-8.558
PM48_02,4JT6,9,-8.486
PM48_03,4L23,1,-7.553
PM48_03,4L23,2,-7.23
PM48_03,4L23,3,-7.181
PM48_03,4L23,4,-6.861
PM48_03,4L23,5,-6.805
PM48_03,4L23,6,-6.734
PM48_03,4L23,7,-6.687
PM48_03,4L23,8,-6.246
PM48_03,4L23,9,-6.137
PM48_03,4JT6,1,-8.53
PM48_03,4JT6,2,-8.387
PM48_03,4JT6,3,-7.655
PM48_03,4JT6,4,-6.943
PM48_03,4JT6,5,-6.868
PM48_03,4JT6,6,-6.61
PM48_03,4JT6,7,-6.457
PM48_03,4JT6,8,-6.394
PM48_03,4JT6,9,-6.334
PM48_04,4L23,1,-9.758
PM48_04,4L23,2,-8.509
PM48_04,4L23,3,-8.494
PM48_04,4L23,4,-8.418
PM48_04,4L23,5,-8.289
PM48_04,4L23,6,-7.951
PM48_04,4L23,7,-7.755
PM48_04,4L23,8,-7.736
PM48_04,4L23,9,-7.638
PM48_04,4JT6,1,-10.505
PM48_04,4JT6,2,-10.484
PM48_04,4JT6,3,-10.38
PM48_04,4JT6,4,-10.312
PM48_04,4JT6,5,-9.907
